impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,location_for_map,Memo
K17-098014,A524502,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A524502,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Lars Larson,Cat,10 YEARS,Neutered Male,Maine Coon / Mix,Brn Tabby,04/19/2017 12:00:00 AM,Received on,21600 64TH AVE S,KENT,WA,98032,KENT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524502,Image Copyright HLP Inc. 2017,"21600 64TH AVE S
KENT, WA 98032
","Received on: 2017-04-19<p></p> Found Near: 21600 64TH AVE S, KENT WA 98032<p></p> Description: Brn Tabby Neutered Male Maine Coon / Mix Cat<p></p> Age: 10 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-097872,A523998,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A523998,"Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033",Milo,Dog,3 YEARS,Neutered Male,Terrier / Mix,Tan / Brown,04/12/2017 12:00:00 AM,Received on,12040 NE 85TH ST,KIRKLAND,WA,98033,KIRKLAND,47.680519,-122.179195,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A523998,Image Copyright HLP Inc. 2017,"12040 NE 85TH ST
KIRKLAND, WA 98033
(47.680519, -122.179195)","Received on: 2017-04-12<p></p> Description: Tan / Brown<p></p>  Neutered Male Terrier / Mix Dog<p></p> Age: 3 YEARS<p></p> Current Location: Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033<p></p>Hi!  My name is Milo and I am available for adoption at the Eastside Pet Adoption Center in Kirkland.<p></p><p></p>I was brought in by a good samaritan on 04/12/17.<p></p><p></p>My personality color is GREEN.  I am an adaptable dog who loves to go with the flow!  I am outgoing and carefree, and I just can't wait to find my forever home!<p></p><p></p>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p></p><p></p>I am full of energy and I love to play!  I tend to calm down more when the people around me stay calm.  I do best when I have lots of exercise and something to keep my mind busy.<p></p><p></p>My caregivers have noticed that I seem to do well with other small dogs.  When meeting dogs in a new home, I would do best with a slow introduction.<p></p><p></p>I do like to find adventures when I'm bored, so it's best to supervise me in the backyard or I will challenge myself to find a way out!  I would love to go hiking or walk around the neighborhood with you.<p></p><p></p> Adoption Fee: $225.00<p></p>"
K17-098009,A524497,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A524497,"Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033",Pippa,Cat,7 YEARS,Spayed Female,Domestic Shorthair,Gray / White,04/19/2017 12:00:00 AM,Received on,12040 NE 85TH ST,KIRKLAND,WA,98033,KIRKLAND,47.680519,-122.179195,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524497,Image Copyright HLP Inc. 2017,"12040 NE 85TH ST
KIRKLAND, WA 98033
(47.680519, -122.179195)","Received on: 2017-04-19<p></p> Description: Gray / White<p></p>  Spayed Female Domestic Shorthair Cat<p></p> Age: 7 YEARS<p></p> Current Location: Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033<p></p>Hi!  My name is Pippa and I am available for adoption at the Eastside Pet Adoption Center in Kirkland<p></p><p></p>I was brought in by a good samaritan on 04/19/17<p></p><p></p>My personality color is GREEN.  I am an adaptable cat who loves to go with the flow!  I am outgoing and carefree, and I just can't wait to find my forever home!<p></p><p></p>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p></p><p></p><p></p> Adoption Fee: $30.00<p></p>"
K17-098102,A524702,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A524702,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,2 YEARS,Neutered Male,German Shepherd,Black / Tan,04/23/2017 12:00:00 AM,Received on,10000 SE 256TH ST,KENT,WA,98030,KENT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524702,Image Copyright HLP Inc. 2017,"10000 SE 256TH ST
KENT, WA 98030
","Received on: 2017-04-23<p></p> Found Near: 10000 SE 256TH ST, KENT WA 98030<p></p> Description: Black / Tan Neutered Male German Shepherd Dog<p></p> Age: 2 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-097890,A524068,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A524068,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Stanley,Dog,6 YEARS,Neutered Male,Staffordshire Bull Terrier,Tan,04/13/2017 12:00:00 AM,Received on,,,,,,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524068,Image Copyright HLP Inc. 2017,,"Received on: 2017-04-13<p></p> Description: Tan<p></p>  Neutered Male Staffordshire Bull Terrier Dog<p></p> Age: 6 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>Hi!  My name is Stanley and I am available for adoption at the RASKC Pet Adoption Center in Kent.<p></p><p></p>I was brought in by a good samaritan on 4/13/17.<p></p><p></p>I am a very smart dog!  I have shown my caregivers that I already know how to &quot;sit&quot;<p></p><p></p>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p></p><p></p>I am an independent dog who likes to do my own thing!<p></p><p></p>My personality color is RED.  I am a spirited dog with a fun-loving personality!  I am still working on my manners, so I would do best with a family who is willing to work with me and help me become the best dog I can be!<p></p><p></p>My caregivers have observed that I might not get along with other dogs.  I may do best as the only dog in my new home, or need to meet other dogs in the home first.<p></p><p></p><p></p> Adoption Fee: $100.00<p></p>"
K17-097855,A523933,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,,,Dead Cat,NO AGE,Unaltered,Domestic Shorthair,Brn Tabby,04/11/2017 12:00:00 AM,Received on,400 SW MOUNT SI BLVD,NORTH BEND,WA,98045,NORTH BEND,47.486768,-121.792222,,Image Copyright HLP Inc. 2017,"400 SW MOUNT SI BLVD
NORTH BEND, WA 98045
(47.486768, -121.792222)","Received on: 2017-04-11<p></p> Found Near: 400 SW MOUNT SI BLVD, NORTH BEND WA 98045<p></p> Description: Brn Tabby Unaltered Domestic Shorthair Cat<p></p> Age: NO AGE<p></p>"
K17-098051,A524585,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,In RASKC Foster Home,,Cat,6 WEEKS,Male,Domestic Mediumhair,Brn Tabby,04/21/2017 12:00:00 AM,Received on,14200 26TH PL S,SEATAC,WA,98168,SEATAC,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524585,Image Copyright HLP Inc. 2017,"14200 26TH PL S
SEATAC, WA 98168
","Received on: 2017-04-21<p></p> Found Near: 14200 26TH PL S, SEATAC WA 98168<p></p> Description: Brn Tabby Male Domestic Mediumhair Cat<p></p> Age: 6 WEEKS<p></p> Current Location: In RASKC Foster Home <p></p>"
K17-098034,A522870,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A522870,"Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033",Kelli,Cat,2 YEARS,Spayed Female,Domestic Longhair,Orange / White,04/20/2017 12:00:00 AM,Received on,12040 NE 85TH ST,KIRKLAND,WA,98033,KIRKLAND,47.680519,-122.179195,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A522870,Image Copyright HLP Inc. 2017,"12040 NE 85TH ST
KIRKLAND, WA 98033
(47.680519, -122.179195)","Received on: 2017-04-20<p></p> Description: Orange / White<p></p>  Spayed Female Domestic Longhair Cat<p></p> Age: 2 YEARS<p></p> Current Location: Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033<p></p>Hi!  My name is Kelli and I am available for adoption at the Eastside Pet Adoption Center inside PetCo in Kirkland.<p></p><p></p>I was brought back in my my foster mom on April 20, 2017. I was with her to get over some mild medication issues.  I lived in a home with other cats, but never warmed up to them.  My previous caretaker described me as very affectionate.<p></p><p></p>My personality color is GREEN.  I am an adaptable cat who loves to go with the flow!  I am outgoing and carefree, and I just can't wait to find my forever home!<p></p><p></p>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p></p><p></p>I like getting attention on my own terms.  I get overstimulated with petting, so please move carefully with me and keep an eye out for signs that I might need a break.<p></p><p></p>My caregivers have noticed that I do not get along with other cats, so I may do best as the only cat in my new home.<p></p><p></p><p></p> Adoption Fee: $30.00<p></p>"
K17-098131,A524817,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,,,Dead Cat,NO AGE,Unaltered,Domestic Shorthair,White / Gray Tabby,04/25/2017 12:00:00 AM,Received on,17300 34TH AVE S,SEATAC,WA,98188,SEATAC,47.447848,-122.289062,,Image Copyright HLP Inc. 2017,"17300 34TH AVE S
SEATAC, WA 98188
(47.447848, -122.289062)","Received on: 2017-04-25<p></p> Found Near: 17300 34TH AVE S, SEATAC WA 98188<p></p> Description: White / Gray Tabby Unaltered Domestic Shorthair Cat<p></p> Age: NO AGE<p></p>"
K17-097312,A518226,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A518226,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Mana,Dog,2 YEARS,Neutered Male,Pit Bull / Mix,Brown / White,03/15/2017 12:00:00 AM,Received on,,,,,,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A518226,Image Copyright HLP Inc. 2017,,"Received on: 2017-03-15<p></p> Description: Brown / White<p></p>  Neutered Male Pit Bull / Mix Dog<p></p> Age: 2 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>Hi!  My name is Mana and I am available for adoption at the RASKC Pet Adoption Center in Kent <p></p><p></p>I was brought in by an Animal Control Officer on 2/4/17.<p></p><p></p>My personality color is RED.  I am a spirited dog with a fun-loving personality!  I am still working on my manners, so I would do best with a family who is willing to work with me and help me become the best dog I can be!<p></p><p></p>I am an independent dog who likes to do my own thing!<p></p><p></p>I am full of energy and I love to play!  I tend to calm down more when the people around me stay calm.  I do best when I have lots of exercise and something to keep my mind busy.<p></p><p></p>My caregivers have observed that I might not get along with other dogs.  I may do best as the only dog in my new home, or need to meet other dogs in the home first.<p></p><p></p><p></p> Adoption Fee: $100.00<p></p>"
K17-097964,A524353,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1701024,LOST,Freddy,Cat,,Male,Domestic Shorthair,Unknown,04/13/2017 12:00:00 AM,Date Lost,SE 213TH ST & 188TH AVE SE,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1701024,Image Copyright HLP Inc. 2017,"SE 213TH ST &amp; 188TH AVE SE
",
K17-097833,A523858,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,,,Dead Cat,NO AGE,Unaltered,Domestic Mediumhair,Black / White,04/10/2017 12:00:00 AM,Received on,15000 42ND AVE S,TUKWILA,WA,98188,TUKWILA,47.468778,-122.281172,,Image Copyright HLP Inc. 2017,"15000 42ND AVE S
TUKWILA, WA 98188
(47.468778, -122.281172)","Received on: 2017-04-10<p></p> Found Near: 15000 42ND AVE S, TUKWILA WA 98188<p></p> Description: Black / White Unaltered Domestic Mediumhair Cat<p></p> Age: NO AGE<p></p>"
K17-097351,A519163,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A519163,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Taffy,Cat,13 YEARS,Spayed Female,Domestic Shorthair,White / Brown,03/17/2017 12:00:00 AM,Received on,,,,,,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A519163,Image Copyright HLP Inc. 2017,,"Received on: 2017-03-17<p></p> Description: White / Brown<p></p>  Spayed Female Domestic Shorthair Cat<p></p> Age: 13 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>Hi!  My name is Taffy and I am available for adoption at the RASKC Pet Adoption Center in Kent.<p></p><p></p>I was brought in by my previous owner on 3/17/17 because they couldnt take care of me anymore. My previous owner described me as shy and loving.<p></p><p></p>My personality color is BLUE.  I am a gentle and loving cat who likes to take things slow.  I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up.  Once I get to know you, I will be a very devoted friend!<p></p><p></p>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p></p><p></p> Because of my shy nature, I would do best in a calm, quiet home.<p></p><p></p>I was previously declawed on my front paws.  Because I can't protect myself outside, I need to be an indoor-only cat.<p></p><p></p><p></p> Adoption Fee: $30.00<p></p>"
K17-098049,A524583,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,In RASKC Foster Home,,Cat,6 WEEKS,Male,Domestic Mediumhair,Org Tabby / White,04/21/2017 12:00:00 AM,Received on,14200 26TH PL S,SEATAC,WA,98168,SEATAC,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524583,Image Copyright HLP Inc. 2017,"14200 26TH PL S
SEATAC, WA 98168
","Received on: 2017-04-21<p></p> Found Near: 14200 26TH PL S, SEATAC WA 98168<p></p> Description: Org Tabby / White Male Domestic Mediumhair Cat<p></p> Age: 6 WEEKS<p></p> Current Location: In RASKC Foster Home <p></p>"
K17-097818,A523717,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A523717,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Raven,Cat,2 YEARS,Spayed Female,Domestic Shorthair,Black,04/08/2017 12:00:00 AM,Received on,10300 SE 227TH ST,KENT,WA,98031,KENT,47.398208,-122.203532,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A523717,Image Copyright HLP Inc. 2017,"10300 SE 227TH ST
KENT, WA 98031
(47.398208, -122.203532)","Received on: 2017-04-08<p></p> Found Near: 10300 SE 227TH ST, KENT WA 98031<p></p> Description: Black Spayed Female Domestic Shorthair Cat<p></p> Age: 2 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-098132,A524819,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A524819,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,4 YEARS,Female,Terrier / Mix,Tan,04/25/2017 12:00:00 AM,Received on,23500 58TH AVE S,KENT,WA,98032,KENT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524819,Image Copyright HLP Inc. 2017,"23500 58TH AVE S
KENT, WA 98032
","Received on: 2017-04-25<p></p> Found Near: 23500 58TH AVE S, KENT WA 98032<p></p> Description: Tan Female Terrier / Mix Dog<p></p> Age: 4 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K16-091267,A500367,Regional Animal Services of King County,ADOPTABLE,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,In RASKC Foster Home,Norma,Cat,15 YEARS,Spayed Female,Domestic Shorthair,Dilute Tor,07/12/2016 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A500367,Image Copyright HLP Inc. 2017,"21615 64TH AVE S
KENT, WA 98032
(47.407788, -122.255197)",Received on: 2016-07-12<p></p> Description: Dilute Tor Spayed Female Domestic Shorthair Cat<p></p> Age: 15 YEARS<p></p> Current Location: In RASKC Foster Home <p></p><p></p>Adoption Fee: $30.00<p></p>
K17-098149,A524836,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A524836,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,5 YEARS,Male,Domestic Shorthair,Buff,04/25/2017 12:00:00 AM,Received on,18900 47TH AVE S,SEATAC,WA,98188,SEATAC,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524836,Image Copyright HLP Inc. 2017,"18900 47TH AVE S
SEATAC, WA 98188
","Received on: 2017-04-25<p></p> Found Near: 18900 47TH AVE S, SEATAC WA 98188<p></p> Description: Buff Male Domestic Shorthair Cat<p></p> Age: 5 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-097634,A523115,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1693552,LOST,Matilda,Cat,,Female,Domestic Shorthair,Unknown,03/19/2017 12:00:00 AM,Date Lost,14TH AVENUE NW & NW 56TH ST,SEATTLE,WA,98107,SEATTLE,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1693552,Image Copyright HLP Inc. 2017,"14TH AVENUE NW &amp; NW 56TH ST
SEATTLE, WA 98107
",
K17-097951,A524247,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A524247,"Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033",Rocco,Dog,1 YEAR,Neutered Male,Chihuahua - Smooth Coated / Pug,Fawn / Black,04/16/2017 12:00:00 AM,Received on,12040 NE 85TH ST,KIRKLAND,WA,98033,KIRKLAND,47.680519,-122.179195,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524247,Image Copyright HLP Inc. 2017,"12040 NE 85TH ST
KIRKLAND, WA 98033
(47.680519, -122.179195)","Received on: 2017-04-16<p></p> Description: Fawn / Black<p></p>  Neutered Male Chihuahua - Smooth Coated / Pug Dog<p></p> Age: 1 YEAR<p></p> Current Location: Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033<p></p>Hi!  My name is Rocco and I am available for adoption at the Eastside Pet Adoption Center in Kirkalnd.<p></p><p></p>I was brought in by a good samaritan on April 16, 2017.<p></p><p></p>My personality color is GREEN.  I am an adaptable dog who loves to go with the flow!  I am outgoing and carefree, and I just can't wait to find my forever home!<p></p><p></p>I am an affectionate lovebug who would be thrilled to cuddle up with you at home! My caregivers have noticed that I seem to do well with other dogs.  When meeting dogs in a new home, I would do best with a slow introduction.<p></p><p></p>I'm an adorable little guy who is looking for my forever home, please come and pick me up!<p></p> Adoption Fee: $250.00<p></p>"
K17-098138,A524824,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A524824,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Guinea Pig,NO AGE,Female,Guinea Pig,White,04/25/2017 12:00:00 AM,Received on,21600 64TH AVE S,KENT,WA,98032,KENT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524824,Image Copyright HLP Inc. 2017,"21600 64TH AVE S
KENT, WA 98032
","Received on: 2017-04-25<p></p> Found Near: 21600 64TH AVE S, KENT WA 98032<p></p> Description: White Female Guinea Pig Guinea Pig<p></p> Age: NO AGE<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-098144,A524830,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A524830,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Guinea Pig,NO AGE,Unaltered,Guinea Pig,White,04/25/2017 12:00:00 AM,Received on,21600 64TH AVE S,KENT,WA,98032,KENT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524830,Image Copyright HLP Inc. 2017,"21600 64TH AVE S
KENT, WA 98032
","Received on: 2017-04-25<p></p> Found Near: 21600 64TH AVE S, KENT WA 98032<p></p> Description: White Unaltered Guinea Pig Guinea Pig<p></p> Age: NO AGE<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-097871,A523997,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,,,Dead Cat,6 YEARS,Neutered Male,Domestic Longhair,Black,04/12/2017 12:00:00 AM,Received on,3800 260TH AVE SE,SAMMAMISH,WA,98029,SAMMAMISH,,,,Image Copyright HLP Inc. 2017,"3800 260TH AVE SE
SAMMAMISH, WA 98029
","Received on: 2017-04-12<p></p> Found Near: 3800 260TH AVE SE, SAMMAMISH WA 98029<p></p> Description: Black Neutered Male Domestic Longhair Cat<p></p> Age: 6 YEARS<p></p>"
K17-098028,A524515,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A524515,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Tom,Cat,15 YEARS,Neutered Male,Domestic Shorthair,Black / White,04/19/2017 12:00:00 AM,Received on,1200 SW 10TH ST,NORTH BEND,WA,98045,NORTH BEND,47.486988,-121.800222,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524515,Image Copyright HLP Inc. 2017,"1200 SW 10TH ST
NORTH BEND, WA 98045
(47.486988, -121.800222)","Received on: 2017-04-19<p></p> Found Near: 1200 SW 10TH ST, NORTH BEND WA 98045<p></p> Description: Black / White Neutered Male Domestic Shorthair Cat<p></p> Age: 15 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-097800,A523670,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,,Theo,Dead Cat,NO AGE,Male,Domestic Longhair,Black,04/07/2017 12:00:00 AM,Received on,24800 110TH PL SE,KENT,WA,98030,KENT,,,,Image Copyright HLP Inc. 2017,"24800 110TH PL SE
KENT, WA 98030
","Received on: 2017-04-07<p></p> Found Near: 24800 110TH PL SE, KENT WA 98030<p></p> Description: Black Male Domestic Longhair Cat<p></p> Age: NO AGE<p></p>"
K17-098141,A524827,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A524827,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Guinea Pig,NO AGE,Female,Guinea Pig,White,04/25/2017 12:00:00 AM,Received on,21600 64TH AVE S,KENT,WA,98032,KENT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524827,Image Copyright HLP Inc. 2017,"21600 64TH AVE S
KENT, WA 98032
","Received on: 2017-04-25<p></p> Found Near: 21600 64TH AVE S, KENT WA 98032<p></p> Description: White Female Guinea Pig Guinea Pig<p></p> Age: NO AGE<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-098121,A524774,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A524774,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Bird,NO AGE,Unaltered,Pigeon,Gray,04/24/2017 12:00:00 AM,Received on,23900 104TH AVE SE,KENT,WA,98031,KENT,47.387508,-122.202192,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524774,Image Copyright HLP Inc. 2017,"23900 104TH AVE SE
KENT, WA 98031
(47.387508, -122.202192)","Received on: 2017-04-24<p></p> Found Near: 23900 104TH AVE SE, KENT WA 98031<p></p> Description: Gray Unaltered Pigeon Bird<p></p> Age: NO AGE<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-098098,A524639,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,In RASKC Foster Home,,Cat,5 WEEKS,Unaltered,Domestic Shorthair,Black,04/23/2017 12:00:00 AM,Received on,4700 S 172ND PL,SEATAC,WA,98188,SEATAC,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524639,Image Copyright HLP Inc. 2017,"4700 S 172ND PL
SEATAC, WA 98188
","Received on: 2017-04-23<p></p> Found Near: 4700 S 172ND PL, SEATAC WA 98188<p></p> Description: Black Unaltered Domestic Shorthair Cat<p></p> Age: 5 WEEKS<p></p> Current Location: In RASKC Foster Home <p></p>"
K17-097596,A523048,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A523048,Meowtropolitan,Sweet Pea,Cat,7 YEARS,Spayed Female,Domestic Mediumhair,Gray Tabby,03/29/2017 12:00:00 AM,Received on,21600 64TH AVE S,KENT,WA,98032,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A523048,Image Copyright HLP Inc. 2017,"21600 64TH AVE S
KENT, WA 98032
","Received on: 2017-03-29<p></p> Found Near: 21600 64TH AVE S, KENT WA 98032<p></p> Description: Gray Tabby Spayed Female Domestic Mediumhair Cat<p></p> Age: 7 YEARS<p></p> Current Location: Meowtropolitan<p></p>"
K17-098146,A524832,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A524832,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Guinea Pig,NO AGE,Unaltered,Guinea Pig,White,04/25/2017 12:00:00 AM,Received on,21600 64TH AVE S,KENT,WA,98032,KENT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524832,Image Copyright HLP Inc. 2017,"21600 64TH AVE S
KENT, WA 98032
","Received on: 2017-04-25<p></p> Found Near: 21600 64TH AVE S, KENT WA 98032<p></p> Description: White Unaltered Guinea Pig Guinea Pig<p></p> Age: NO AGE<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-097981,A524412,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,In RASKC Foster Home,,Cat,NO AGE,Male,Domestic Shorthair,Black / White,04/18/2017 12:00:00 AM,Received on,13800 TUKWILA INTERNATIONAL BLVD,TUKWILA,WA,98168,TUKWILA,47.479578,-122.283972,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524412,Image Copyright HLP Inc. 2017,"13800 TUKWILA INTERNATIONAL BLVD
TUKWILA, WA 98168
(47.479578, -122.283972)","Received on: 2017-04-18<p></p> Found Near: 13800 TUKWILA INTERNATIONAL BLVD, TUKWILA WA 98168<p></p> Description: Black / White Male Domestic Shorthair Cat<p></p> Age: NO AGE<p></p> Current Location: In RASKC Foster Home <p></p>"
K17-097822,A523728,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,,,Dead Cat,NO AGE,Unaltered,Domestic Shorthair,Org Tabby / White,04/09/2017 12:00:00 AM,Received on,10000 4TH AVE SW,SEATTLE,WA,98146,KING COUNTY,47.513808,-122.339692,,Image Copyright HLP Inc. 2017,"10000 4TH AVE SW
SEATTLE, WA 98146
(47.513808, -122.339692)","Received on: 2017-04-09<p></p> Found Near: 10000 4TH AVE SW, SEATTLE WA 98146<p></p> Description: Org Tabby / White Unaltered Domestic Shorthair Cat<p></p> Age: NO AGE<p></p>"
